field_name,ef_value_imp_bas_nocons_comprov,ef_value_imp_bas_nocons_wildprov,ef_value_imp_bas_nocons_regprov,ef_value_imp_bas_nocons_totef,ef_value_imp_sc4_nocons_comprov,ef_value_imp_sc4_nocons_wildprov,ef_value_imp_sc4_nocons_regprov,ef_value_imp_sc4_nocons_totef,ef_value_change_sc4_nocons_comprovch ,ef_value_change_sc4_nocons_wildprovch ,ef_value_change_sc4_nocons_regprovch ,ef_value_change_sc4_nocons_totefch ,ef_value_imp_sc3_nocons_comprov,ef_value_imp_sc3_nocons_wildprov,ef_value_imp_sc3_nocons_regprov,ef_value_imp_sc3_nocons_totef,ef_value_change_sc3_nocons_comprovch ,ef_value_change_sc3_nocons_wildprovch ,ef_value_change_sc3_nocons_regprovch ,ef_value_change_sc3_nocons_totefch ,ef_value_imp_sc2_nocons_comprov,ef_value_imp_sc2_nocons_wildprov,ef_value_imp_sc2_nocons_regprov,ef_value_imp_sc2_nocons_totef,ef_value_change_sc2_nocons_comprovch ,ef_value_change_sc2_nocons_wildprovch ,ef_value_change_sc2_nocons_regprovch ,ef_value_change_sc2_nocons_totefch ,ef_value_imp_sc1_nocons_comprov,ef_value_imp_sc1_nocons_wildprov,ef_value_imp_sc1_nocons_regprov,ef_value_imp_sc1_nocons_totef,ef_value_change_sc1_nocons_comprovch ,ef_value_change_sc1_nocons_wildprovch ,ef_value_change_sc1_nocons_regprovch ,ef_value_change_sc1_nocons_totefch 
GLR_295,0.003055139,0.009124136,0.00295956,0.015138835,0.00579547,0.002579717,0.00306807,0.011443257,0.003540379,-0.007652556,-0.001328294,-0.00544047,0.0056885,0.002852549,0.002854281,0.01139533,0.003606576,-0.007753862,-0.001720009,-0.005867294,0.005714599,0.002766531,0.002931519,0.011412649,0.00355354,-0.007720898,-0.001592548,-0.005759906,0.005724292,0.002813097,0.002810283,0.011347672,0.003557082,-0.007753862,-0.001720009,-0.005916788
GLR_296,0.009182279,0.007095039,0.027434097,0.043711415,0.009577448,0.004567799,0.011643068,0.025788315,0.001717308,-0.004489373,-0.020779354,-0.023551419,0.009633502,0.001945066,0.005001919,0.016580488,0.002099368,-0.006160691,-0.024980958,-0.029042281,0.009729394,0.002314897,0.006435717,0.018480008,0.002069334,-0.005920879,-0.024111779,-0.027963324,0.009721082,0.001946434,0.005049203,0.016716718,0.002046699,-0.006146921,-0.024927714,-0.029027936
GLR_297,0.007909155,0.016242465,0.040691752,0.064843371,0.008547533,0.016602575,0.047356668,0.072506775,0.00181834,-0.006771653,-0.014312942,-0.019266255,0.008876245,0.017589697,0.048413645,0.074879587,0.002485679,-0.007792932,-0.017729327,-0.02303658,0.008945545,0.016808523,0.046496273,0.072250341,0.00243597,-0.007716858,-0.017435175,-0.022716063,0.008998953,0.017346423,0.047805267,0.074150642,0.002485679,-0.007792932,-0.017729327,-0.02303658
GLR_298,0.000416235,0.0000613,0.000237159,0.000714728,0.000400961,0,0,0.000400961,0.0000401,-0.0000613,-0.000237159,-0.000258415,0.000389649,0,0,0.000389649,0.0000401,-0.0000613,-0.000237159,-0.000258415,0.000394579,0,0,0.000394579,0.0000401,-0.0000613,-0.000237159,-0.000258415,0.000395036,0,0,0.000395036,0.0000401,-0.0000613,-0.000237159,-0.000258415
GLR_299,0.01361759,0.038481205,0.063198618,0.115297413,0.021576154,0.022978598,0.066197511,0.110752263,0.01093709,-0.02537324,-0.026503525,-0.040939675,0.021284585,0.026104196,0.073047171,0.120435952,0.011308462,-0.025941577,-0.028674476,-0.043307591,0.021446179,0.025097937,0.070707296,0.117251412,0.011183963,-0.025751048,-0.027937764,-0.042504849,0.021567142,0.025785576,0.072284704,0.119637422,0.011294962,-0.025920918,-0.028594591,-0.043220547
GLR_300,0.034095983,0.079170939,0.291591323,0.404858245,0.050249332,0.050815417,0.18598391,0.287048659,0.023090124,-0.050183674,-0.185681371,-0.212774921,0.053892008,0.028420202,0.096352648,0.178664858,0.029016121,-0.065518776,-0.244843865,-0.281346519,0.05234366,0.03930407,0.138521177,0.230168907,0.026437133,-0.059235158,-0.220547258,-0.253345283,0.054204896,0.02942344,0.100465214,0.18409355,0.028516961,-0.064838629,-0.242213971,-0.278535639
GLR_301,0.01161189,0.004257784,0.015593372,0.031463046,0.01059024,0.002636441,0.007441929,0.020668609,0.000440302,-0.002753847,-0.011395327,-0.013708872,0.01036063,0.002673005,0.007950647,0.020984281,0.000521284,-0.002973757,-0.011766432,-0.014218905,0.010456675,0.002531502,0.007541378,0.020529556,0.00048079,-0.002973757,-0.011766432,-0.014259399,0.010408133,0.00264417,0.007850952,0.020903255,0.000410711,-0.002969795,-0.011766432,-0.014325516
GLR_302,0.009868937,0.000526084,0.002015138,0.012410158,0.008420307,0.0000724,0.0000151,0.008507824,-0.000286231,-0.000484785,-0.002007644,-0.002778659,0.008182761,0.0000143,0.0000184,0.008215446,-0.00028623,-0.000519219,-0.002007644,-0.002813093,0.008227905,0.0000135,0.0000172,0.008258644,-0.00035373,-0.000519219,-0.002007644,-0.002880593,0.008136157,0.0000141,0.0000181,0.008168326,-0.000470732,-0.000519219,-0.002007644,-0.002997595
GLR_303,0.002692539,0.001338965,0.005177321,0.009208825,0.002450154,0.003888131,0.007491113,0.013829398,0.0000959,0.00087899,-0.000895681,0.0000792,0.002396405,0.004545503,0.008675906,0.015617815,0.000113854,0.000844551,-0.000922314,0.0000361,0.00242672,0.004304875,0.008242444,0.014974039,0.000113854,0.000844551,-0.000922314,0.0000361,0.002429534,0.004482637,0.008571872,0.015484042,0.000113854,0.000844551,-0.000922314,0.0000361
GLR_304,0.005592732,0.000302552,0.001169864,0.007065148,0.005080131,0.0000242,0,0.005104281,0.000188696,-0.000288775,-0.001169864,-0.001269944,0.004944502,0,0,0.004944502,0.000197698,-0.000302552,-0.001169864,-0.001274718,0.005007049,0,0,0.005007049,0.000197698,-0.000302552,-0.001169864,-0.001274718,0.005012856,0,0,0.005012856,0.000197698,-0.000302552,-0.001169864,-0.001274718
